time,area,title
2016-07-19,서울·인천·경기도,제 07-27호 | 폭염주의보 발표
2016-07-20,서울·인천·경기도,제 07-28호 | 폭염주의보 발표
2016-07-20,서울·인천·경기도,제 07-29호 | 폭염주의보 발표
2016-07-23,서울·인천·경기도,제 07-30호 | 폭염주의보 해제
2016-07-26,서울·인천·경기도,제 07-31호 | 폭염주의보 해제
2016-07-30,서울·인천·경기도,제 07-38호 | 폭염주의보 발표
2016-08-03,서울·인천·경기도,제 08-3호 | 폭염경보 대치·폭염주의보 발표
2016-08-05,서울·인천·경기도,제 08-4호 | 폭염주의보 발표
2016-08-06,서울·인천·경기도,제 08-5호 | 폭염주의보 해제·폭염주의보 대치
2016-08-10,서울·인천·경기도,제 08-6호 | 폭염경보 대치
2016-08-11,서울·인천·경기도,제 08-7호 | 폭염경보 대치·폭염주의보 발표
2016-08-14,서울·인천·경기도,제 08-8호 | 폭염주의보 대치·폭염주의보 해제
2016-08-15,서울·인천·경기도,제 08-9호 | 폭염경보 대치
2016-08-15,서울·인천·경기도,제 08-10호 | 폭염경보 대치
2016-08-16,서울·인천·경기도,제 08-11호 | 폭염경보 대치
2016-08-18,서울·인천·경기도,제 08-12호 | 폭염주의보 대치
2016-08-21,서울·인천·경기도,제 08-13호 | 폭염경보 대치·폭염주의보 발표
2016-08-24,서울·인천·경기도,제 08-14호 | 폭염주의보 대치·폭염주의보 해제
2016-08-25,서울·인천·경기도,제 08-15호 | 폭염주의보 해제
2017-06-16,서울·인천·경기도,제 06-5호 | 폭염주의보 발표
2017-06-18,서울·인천·경기도,제 06-6호 | 폭염주의보 발표
2017-06-18,서울·인천·경기도,제 06-7호 | 폭염주의보 발표
2017-06-19,서울·인천·경기도,제 06-8호 | 폭염주의보 발표
2017-06-24,서울·인천·경기도,제 06-9호 | 폭염주의보 해제
2017-07-04,서울·인천·경기도,제 07-20호 | 폭염주의보 발표
2017-07-06,서울·인천·경기도,제 07-21호 | 폭염주의보 해제
2017-07-11,서울·인천·경기도,제 07-45호 | 폭염주의보 발표
2017-07-11,서울·인천·경기도,제 07-46호 | 폭염주의보 발표
2017-07-14,서울·인천·경기도,제 07-47호 | 폭염주의보 해제
2017-07-19,서울·인천·경기도,제 07-62호 | 폭염주의보 발표
2017-07-20,서울·인천·경기도,제 07-63호 | 폭염경보 대치·폭염주의보 발표
2017-07-21,서울·인천·경기도,제 07-64호 | 폭염경보 대치
2017-07-21,서울·인천·경기도,제 07-65호 | 폭염주의보 대치
2017-07-22,서울·인천·경기도,제 07-66호 | 호우주의보 발표·폭염주의보 해제
2017-07-23,서울·인천·경기도,제 07-73호 | 호우주의보 발표·폭염주의보 해제
2017-07-25,서울·인천·경기도,제 07-88호 | 폭염주의보 발표
2017-07-25,서울·인천·경기도,제 07-89호 | 폭염주의보 발표
2017-07-27,서울·인천·경기도,제 07-90호 | 폭염주의보 해제
2017-08-01,서울·인천·경기도,제 08-1호 | 폭염주의보 발표
2017-08-01,서울·인천·경기도,제 08-2호 | 폭염주의보 발표
2017-08-02,서울·인천·경기도,제 08-3호 | 폭염경보 대치
2017-08-03,서울·인천·경기도,제 08-4호 | 폭염경보 대치·폭염주의보 발표
2017-08-06,서울·인천·경기도,제 08-5호 | 폭염주의보 대치
2017-08-06,서울·인천·경기도,제 08-6호 | 폭염주의보 해제
2017-08-07,서울·인천·경기도,제 08-7호 | 폭염주의보 해제
2017-08-09,서울·인천·경기도,제 08-8호 | 폭염주의보 발표
2017-08-09,서울·인천·경기도,제 08-9호 | 폭염주의보 해제
2017-08-11,서울·인천·경기도,제 08-17호 | 폭염주의보 발표
2017-08-13,서울·인천·경기도,제 08-18호 | 폭염주의보 해제
2018-06-23,서울·인천·경기도,제 06-5호 | 폭염주의보 발표
2018-06-25,서울·인천·경기도,제 06-6호 | 폭염주의보 해제
2018-07-11,서울·인천·경기도,제 07-23호 | 폭염주의보 발표
2018-07-13,서울·인천·경기도,제 07-24호 | 폭염주의보 발표
2018-07-15,서울·인천·경기도,제 07-25호 | 폭염경보 대치
2018-07-15,서울·인천·경기도,제 07-26호 | 폭염주의보 발표
2018-07-16,서울·인천·경기도,제 07-27호 | 폭염경보 대치
2018-07-19,서울·인천·경기도,제 07-28호 | 폭염경보 대치
2018-07-20,서울·인천·경기도,제 07-29호 | 폭염경보 대치·폭염주의보 발표
2018-07-21,서울·인천·경기도,제 07-30호 | 폭염경보 대치
2018-07-28,서울·인천·경기도,제 07-31호 | 폭염경보 대치·폭염주의보 발표
2018-07-29,서울·인천·경기도,제 07-32호 | 폭염경보 대치
2018-08-16,서울·인천·경기도,제 08-13호 | 폭염주의보 대치
2018-08-17,서울·인천·경기도,제 08-15호 | 강풍주의보·폭염주의보 해제·폭염주의보 대치
2018-08-18,서울·인천·경기도,제 08-17호 | 폭염주의보 해제
2018-08-19,서울·인천·경기도,제 08-18호 | 폭염주의보 발표
2018-08-19,서울·인천·경기도,제 08-19호 | 폭염주의보 발표
2018-08-22,서울·인천·경기도,제 08-26호 | 폭염주의보 해제
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
