기간,구분,평균,평균최고,극점최고,평균최저,극점최저,강수량(mm),평균,최소,평균해면기압(hPa),이슬점온도(℃),평균운량(10%),일조시간(hr),평균풍속,최대풍속
1998.10 ,서울시,17,22,26.5,12.7,4.9,27.4,67,29,1018,10.5,4.7,202.2,1.9,9.7
1998.11 ,서울시,7.3,12.2,20.5,3.3,-6.8,26.9,61,20,1021.2,0.1,3.5,167.5,2.2,10
1998.12 ,서울시,2.3,6.6,12.9,-1.7,-8.1,3.7,59,16,1025.9,-5.3,2.8,185.6,2.2,10.7
1999.01 ,서울시,-0.8,3.5,12.4,-4.7,-12.2,10.2,58,21,1023.1,-8.3,3,184.1,2.6,10
1999.02 ,서울시,0.7,5,10.2,-3.1,-12.3,2.9,60,16,1023.2,-6.8,4,159.1,2.8,10
1999.03 ,서울시,6.7,11.7,18.8,1.6,-6.2,55,50,11,1018.3,-3.9,4.9,197.7,2.5,8.3
1999.04 ,서울시,13.9,19.3,28.2,8.7,1.6,97.2,59,11,1014.3,5.2,4.4,228.1,2.6,9.7
1999.05 ,서울시,17.5,22.7,28.1,12.4,10.2,109.7,65,21,1010.9,10.2,4.2,235.1,2.2,8.7
1999.06 ,서울시,23.1,28.3,33.6,18.5,15.8,131.8,68,28,1008.3,16.1,5.2,217.5,1.8,8.3
1999.07 ,서울시,25.9,30,34.9,22.3,18.2,230.4,73,37,1005.6,20.4,7.5,130.4,2.1,9.7
1999.08 ,서울시,26,30.2,35.4,22.3,19.5,600.5,74,36,1007.5,24.7,6.4,161.4,1.2,11.3
1999.09 ,서울시,22.9,27,32,19.4,12.8,377.3,76,28,1012.5,18,6.7,119.9,1.3,6
1999.10 ,서울시,14.3,19.1,24,10,1.5,81.6,70,24,1019.7,8.4,4.9,162.4,1.1,8
1999.11 ,서울시,7.9,12.6,18.6,3.8,-6.1,19.5,65,25,1022,1.3,3.6,183.5,1.3,8.7
1999.12 ,서울시,0.4,4.4,12,-3.4,-11.5,17,64,26,1025.9,-6.1,3,164.6,1.2,9.7
2000.01 ,서울시,-2.1,1.7,9.9,-5.7,-12.1,42.8,64,28,1026.3,-8.5,4.2,108.3,2.6,7.6
2000.02 ,서울시,-1.7,2.6,7.5,-5.8,-11.6,2.1,56,27,1023.1,-9.9,3.2,139.3,2.7,10.6
2000.03 ,서울시,6.3,11.4,18.9,1.7,-4.8,3.1,55,23,1017.7,-2.6,3.9,152.8,3,12.2
2000.04 ,서울시,11.9,16.9,23.5,7.3,1.8,30.7,56,26,1012.7,2.7,5,156.6,2.9,9.5
2000.05 ,서울시,17.5,22.7,30.5,12.9,7.9,75.2,66,26,1010.1,10.6,6,138.3,2.3,8.3
2000.06 ,서울시,23.7,29.2,33.9,19.1,14.6,68.1,65,21,1007.1,16.2,6,133,1.9,6.6
2000.07 ,서울시,26.8,31,34.2,23.1,19.9,114.7,73,29,1005.5,21.4,6.8,108.2,2.1,9.5
2000.08 ,서울시,26.2,30,35.1,22.9,19,599.4,79,26,1008.6,21.9,6.6,112.8,1.7,9.2
2000.09 ,서울시,20.7,24.8,31,17.1,11.9,178.5,71,32,1012.8,14.38,6,116.4,1.7,12.5
2000.10 ,서울시,14.9,19.2,26.5,10.7,3.5,18.1,64,23,1019.6,7.7,4.7,131.3,1.5,6.6
2000.11 ,서울시,7,11.1,20.3,2.7,-3.8,27.1,57,17,1024.8,-1.5,4.3,102.6,1.8,6.3
2000.12 ,서울시,0.9,4.9,11.9,-2.9,-11.4,27,58,22,1024.5,-6.8,4,106.6,2.2,8.1
