date,Year,Month,heatindex
20030703,2003 여름,7,21.55
20030704,2003 여름,7,22.28
20030705,2003 여름,7,24.92
20030706,2003 여름,7,24.55
20030707,2003 여름,7,25.12
20030708,2003 여름,7,25.6
20030709,2003 여름,7,22.05
20030710,2003 여름,7,23.23
20030711,2003 여름,7,24.88
20030712,2003 여름,7,23.59
20030713,2003 여름,7,24.47
20030714,2003 여름,7,23.58
20030715,2003 여름,7,24.73
20030716,2003 여름,7,24.86
20030717,2003 여름,7,24.38
20030718,2003 여름,7,19.99
20030719,2003 여름,7,20.34
20030720,2003 여름,7,23.42
20030721,2003 여름,7,25.53
20030722,2003 여름,7,23.04
20030723,2003 여름,7,22.45
20030724,2003 여름,7,24.51
20030725,2003 여름,7,25.91
20030726,2003 여름,7,25.62
20030727,2003 여름,7,21.25
20030728,2003 여름,7,22.24
20030729,2003 여름,7,24.44
20030730,2003 여름,7,26.05
20030731,2003 여름,7,26.4
20030801,2003 여름,8,25.79
20030802,2003 여름,8,24.95
20030803,2003 여름,8,25.19
20030804,2003 여름,8,26.63
20030805,2003 여름,8,25.95
20030806,2003 여름,8,23.52
20030807,2003 여름,8,22.74
20030808,2003 여름,8,24.8
20030809,2003 여름,8,26.55
20030810,2003 여름,8,24.37
20030811,2003 여름,8,23.65
20030812,2003 여름,8,24.79
20030813,2003 여름,8,24.76
20030814,2003 여름,8,24.83
20030815,2003 여름,8,24.81
20030816,2003 여름,8,23.59
20030817,2003 여름,8,22.91
20030818,2003 여름,8,21.43
20030819,2003 여름,8,21.68
20030820,2003 여름,8,24.46
20030821,2003 여름,8,26.3
20030822,2003 여름,8,29.59
20030823,2003 여름,8,24.65
20030824,2003 여름,8,22.88
20030825,2003 여름,8,24.93
20030826,2003 여름,8,24.18
20030827,2003 여름,8,21.64
20030828,2003 여름,8,23.87
20030829,2003 여름,8,22.45
20030830,2003 여름,8,20.41
20030831,2003 여름,8,20.82
20040601,2004 여름,6,21.03
20040602,2004 여름,6,23.1
20040603,2004 여름,6,25.83
20040604,2004 여름,6,26.13
20040605,2004 여름,6,25.88
20040606,2004 여름,6,23.51
20040607,2004 여름,6,21.79
20040608,2004 여름,6,20.12
20040609,2004 여름,6,20.56
20040610,2004 여름,6,22.82
20040611,2004 여름,6,25.26
20040612,2004 여름,6,25.01
20040613,2004 여름,6,23.37
20040614,2004 여름,6,23.53
20040615,2004 여름,6,25.22
20040616,2004 여름,6,25.53
20040617,2004 여름,6,19.67
20040618,2004 여름,6,20.2
20040619,2004 여름,6,21.03
20040620,2004 여름,6,21.45
20040621,2004 여름,6,22.8
20040622,2004 여름,6,20.88
20040623,2004 여름,6,22.09
20040624,2004 여름,6,25.01
20040625,2004 여름,6,25.33
20040626,2004 여름,6,24.3
20040627,2004 여름,6,24.48
20040628,2004 여름,6,22.79
20040629,2004 여름,6,22.21
20040630,2004 여름,6,24.56
20040701,2004 여름,7,24.28
20040702,2004 여름,7,22.9
20040703,2004 여름,7,24.56
20040704,2004 여름,7,21.03
20040705,2004 여름,7,22.66
20040706,2004 여름,7,23.38
20040707,2004 여름,7,21.61
20040708,2004 여름,7,21.29
20040709,2004 여름,7,22.63
20040710,2004 여름,7,24
20040711,2004 여름,7,23.57
20040712,2004 여름,7,22.19
20040713,2004 여름,7,21.11
20040714,2004 여름,7,23.38
20040715,2004 여름,7,22.85
20040716,2004 여름,7,22.9
20040717,2004 여름,7,22.39
20040718,2004 여름,7,24.96
20040719,2004 여름,7,26.33
20040720,2004 여름,7,25.75
20040721,2004 여름,7,29.46
20040722,2004 여름,7,30.07
20040723,2004 여름,7,30.57
20040724,2004 여름,7,28.93
20040725,2004 여름,7,25.52
20040726,2004 여름,7,26.3
20040727,2004 여름,7,30.17
20040728,2004 여름,7,32.16
20040729,2004 여름,7,32.19
20040730,2004 여름,7,32.48
20040731,2004 여름,7,33.47
20040801,2004 여름,8,31.74
20040802,2004 여름,8,29.81
20040803,2004 여름,8,31.41
20040804,2004 여름,8,31.64
20040805,2004 여름,8,30.13
20040806,2004 여름,8,31.39
20040807,2004 여름,8,32.07
20040808,2004 여름,8,31.48
20040809,2004 여름,8,31.82
20040810,2004 여름,8,34.49
20040811,2004 여름,8,32.25
20040812,2004 여름,8,32.36
20040813,2004 여름,8,31.81
20040814,2004 여름,8,26.42
20040815,2004 여름,8,28.15
20040816,2004 여름,8,25.4
20040817,2004 여름,8,22.98
20040818,2004 여름,8,23.28
20040819,2004 여름,8,21.79
20040820,2004 여름,8,23.48
20040821,2004 여름,8,23.23
20040822,2004 여름,8,22.8
20040823,2004 여름,8,22.86
20040824,2004 여름,8,23.81
20040825,2004 여름,8,24.26
20040826,2004 여름,8,23.86
20040827,2004 여름,8,24.48
20040828,2004 여름,8,23.82
20040829,2004 여름,8,25.21
20040830,2004 여름,8,26.21
20040831,2004 여름,8,24.36
20050601,2005 여름,6,19.67
20050602,2005 여름,6,19.27
20050603,2005 여름,6,18.14
20050604,2005 여름,6,19.44
20050605,2005 여름,6,22.44
20050606,2005 여름,6,22.44
20050607,2005 여름,6,21.72
20050608,2005 여름,6,22.99
20050609,2005 여름,6,23.44
20050610,2005 여름,6,19.5
20050611,2005 여름,6,20.98
20050612,2005 여름,6,21.58
20050613,2005 여름,6,24.53
20050614,2005 여름,6,24.48
20050615,2005 여름,6,21.39
20050616,2005 여름,6,21.11
20050617,2005 여름,6,22.48
20050618,2005 여름,6,23.13
20050619,2005 여름,6,23.52
20050620,2005 여름,6,23.56
20050621,2005 여름,6,24.42
20050622,2005 여름,6,24.2
20050623,2005 여름,6,24.31
20050624,2005 여름,6,25.66
20050625,2005 여름,6,25.33
20050626,2005 여름,6,24.93
20050627,2005 여름,6,22.78
20050628,2005 여름,6,23.56
20050629,2005 여름,6,22.83
20050630,2005 여름,6,25.47
20050701,2005 여름,7,23.93
20050702,2005 여름,7,24.01
